state index,energy (Hartree),torsion angle (deg),method,basis,spin multiplicity,spin type
3,-77.8255299216,174.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3220656651,176.0,XMS-CASPT2,cc-pvdz,1,
2,-78.010624232,176.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8214997502,176.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3220514172,178.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0091936247,178.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8187678285,178.0,XMS-CASPT2,cc-pvdz,1,
1,-78.322033341,180.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0086837317,180.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8177851668,180.0,XMS-CASPT2,cc-pvdz,1,
